Item,Grupo,Descrição,Descrição Detalhada,Quantidade,Unidade de Fornecimento,Valor Estimado,Situação,Empresa,Melhor Lance,Valor Negociado
13,-,Canaleta,"Canaleta Referência: Sistema ""X"" , Material: Pvc - Cloreto De Polivinila , Aplicação: Instalação Elétrica , Cor: Cinza , Dimensões: 50 X 12 X 2000 MM, Tipo: Com Tampa , Características Adicionais: Para Piso Com 01 Divisão Tipo Dp 2",501,Unidade,"32,5000",Cancelado no julgamento,,,
14,-,Canaleta,"Canaleta Material: Pvc Auto-Extinguível , Aplicação: Instalação Elétrica E Lógica , Dimensões: (Axlxc) 14 X 52 X 2000 MM, Tipo: Com Tampa E Três Divisões , Características Adicionais: Para Piso, Suporta Alto Impacto",491,Unidade,"34,9000",Cancelado no julgamento,,,
16,-,Canaleta,"Canaleta Material: Termoplástico Autoextinguível , Aplicação: Instalação Elétrica , Cor: Branca , Dimensões: 20x12x2000 (Lxaxc) MM, Tipo: Com Tampa , Características Adicionais: Sem Divisória / Com Adesivo Dupla Face",1.123,Unidade,"10,1900",Homologado,,,
38,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Alumínio , Tipo: Encaixe , Características Adicionais: Com Parafusos , Bitola: 1 1/2 PO",30,Unidade,"3,9500",Cancelado no julgamento,,,
39,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Alumínio , Tipo: Encaixe , Características Adicionais: Com Parafusos , Bitola: 1 PO",30,Unidade,"6,1200",Cancelado no julgamento,,,
40,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Alumínio , Tipo: Encaixe , Características Adicionais: Com Parafusos , Bitola: 2 PO",30,Unidade,"8,5900",Cancelado no julgamento,,,
41,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Alumínio , Tipo Fixação: Encaixe , Bitola: 3/4 PO",20,Unidade,"3,9000",Cancelado no julgamento,,,
42,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Pvc , Bitola: 1 1/2 PO",20,Unidade,"1,8700",Cancelado no julgamento,,,
43,-,Cabeçote eletroduto,"Cabeçote Eletroduto Material: Pvc , Bitola: 2 PO",20,Unidade,"6,3000",Cancelado no julgamento,,,
44,-,Cabo áudio e vídeo,"Cabo Áudio E Vídeo Aplicação: Caixa/Mesa Som , Comprimento: 15 M, Tipo Cabo: P10/Xlr Macho",49,Unidade,"102,6900",Homologado,,,
45,-,Cabo áudio e vídeo,"Cabo Áudio E Vídeo Aplicação: Caixa/Mesa Som , Comprimento: 15 M, Tipo Cabo: Xlr Fêmea/Xlr Macho",46,Unidade,"145,3300",Homologado,,,
46,-,Cabo Áudio E Vídeo,"Cabo Áudio E Vídeo Material Cobertura: Pvc Emborrachado , Aplicação: Microfone , Comprimento: 1 M, Material Condutor: Cobre , Material Isolamento Condutor: Pvc , Acessórios: Conector Xlr",16,Unidade,"72,0000",Homologado,,,
47,-,Cabo áudio e vídeo,"Cabo Áudio E Vídeo Material Cobertura: Pvc Emborrachado , Aplicação: Microfone , Comprimento: 20 M, Material Condutor: Cobre , Material Isolamento Condutor: Pvc , Acessórios: Conector Xlr Macho E Fêmea",31,Unidade,"147,4500",Homologado,,,
50,-,Microfone,"Microfone Material: Corpo De Metal , Resposta Freqüência: 55-18000 HZ, Aplicação: Auditório , Tipo Receptor: Padrão Rack 19 Polegadas Com 2 Antenas , Alcance: Mínimo 100 M, Referência Fabricante: Beyerdinamic Ne 900d , Alimentação Externa Receptor: 110/220 V, Alimentação Receptor: 3 V, Relação Sinal / Ruido: Menor Que 110 DB, Potência De Saída: Mínima 10 MW, Cor: Preta , Tipo: De Mão , Características Adicionais: Uhf, Kit De Montagem , Padrão: Polar Hipercardióide",18,Unidade,"1.436,9400",Homologado,,,
52,-,Microfone,"Microfone Material: Corpo Em Alumínio , Resposta Freqüência: Uhf Acima De 700 Mhz MHZ, Sensibilidade: +/- 3 DB, Aplicação: Auditório , Tipo Receptor: Uhf , Alcance: 50 M, Cor: Preta , Tipo: Sem Fio , Alimentação: Pilha , Padrão: Polar Cardióide",16,Unidade,"454,6900",Homologado,,,
54,-,Pedestal caixa acústica,"Pedestal Caixa Acústica Altura: Aberto Máx. 1,90m Fechado Máx. 1,60 M, Cor: Preta , Material Haste: Aço Carbono",20,Unidade,"142,5600",Homologado,,,
55,-,Pedestal microfone,"Pedestal Microfone Acabamento Superficial: Pintura Eletrostática , Formato Base: Redondo , Cor: Preta , Tipo: De Mesa , Tipo Haste: Flexível Com Suporte , Comprimento Haste: 30 CM, Material Base Sustentação: Ferro",19,Unidade,"62,6000",Homologado,,,
56,-,Pedestal microfone,"Pedestal Microfone Acabamento Superficial: Pintura Eletrostática , Altura: 1,95 M, Formato Base: Tripé Dobrável , Tipo: Girafa , Características Adicionais: Haste Com Regulagem De Altura E Inclinação , Tipo Haste: Telescópica , Material Base Sustentação: Aço Carbono",20,Unidade,"130,0000",Homologado,,,
65,-,Conector aterramento,"Conector Aterramento Material: Liga Cobre , Fixação Dos Condutores: Por 1 Parafuso , Normas Técnicas: Nema Cc1 , Características Condutores: 1 Cabo Cu 8-2 Awg A Haste 16 Mm , Conexão: Cabo A Haste , Material Elemento Fixação: Liga De Cobre",59,Unidade,"4,7700",Cancelado no julgamento,,,
66,-,Conector aterramento,"Conector Aterramento Material: Liga Cobre , Fixação Dos Condutores: Por Grampo U, Porca E Arruela De Pressão , Tratamento Superficial: Estanhado , Características Condutores: 2 Cabos 16-70mm2 , Conexão: Cabo A Haste , Material Elemento Fixação: Aço Carbono Zincado A Quente",59,Unidade,"14,0000",Cancelado no julgamento,,,
71,-,Conector elétrico,"Conector Elétrico Material: Cobre Eletrolítico , Aplicação: Manutenção Elétrica , Tipo: Split Bolt , Característica Condutor: Cabo - 95mm²",77,Unidade,"18,5000",Homologado,,,
72,-,Conector elétrico,"Conector Elétrico Material: Cobre Eletrolítico , Aplicação: Manutenção Elétrica , Tipo: Split Bolt , Característica Condutor: Fio Até 10mm2",94,Unidade,"5,9900",Cancelado no julgamento,,,
73,-,Conector elétrico,"Conector Elétrico Tipo: Split Bolt , Característica Condutor: Cabo - 25mm2",66,Unidade,"8,8200",Cancelado no julgamento,,,
74,-,Conector elétrico,"Conector Elétrico Tipo: Split Bolt , Característica Condutor: Cabo - 35mm2",66,Unidade,"9,9400",Cancelado no julgamento,,,
75,-,Conector elétrico,"Conector Elétrico Tipo: Split Bolt , Característica Condutor: Cabo - 50mm2",66,Unidade,"12,7000",Cancelado no julgamento,,,
76,-,Conector elétrico,"Conector Elétrico Tipo: Split Bolt , Característica Condutor: Cabo - 70mm2",66,Unidade,"13,7000",Cancelado no julgamento,,,
89,-,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha De 100 X 50 Mm , Tipo: Saída Horizontal Para Eletroduto , Bitola: 1 PO",30,Unidade,"3,5000",Cancelado no julgamento,,,
90,-,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha De 100 X 50 Mm , Tipo: Saída Horizontal Para Eletroduto , Bitola: 3/4 PO",30,Unidade,"3,9700",Cancelado no julgamento,,,
91,-,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha De 100 X 50 Mm , Tipo: Saída Vertical",30,Unidade,"1,7800",Cancelado no julgamento,,,
92,-,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha De 100 X 50 Mm , Tipo: Saída Vertical Para Eletroduto , Bitola: 1 PO",30,Unidade,"1,7400",Cancelado no julgamento,,,
93,-,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Tipo: Terminal (Fechamento) , Tamanho: 200 X 50 MM, Características Adicionais: Com Tampa Galvanizada",10,Unidade,"4,3900",Cancelado no julgamento,,,
102,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Referência: Sistema N , Número De Fases: Trifásico , Curva De Disparo: C , Corrente Nominal: 16",235,Unidade,"64,9400",Homologado,,,
103,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Aplicação: Sistema De Ar Condicionado , Número De Fases: Trifásico , Curva De Disparo: C , Corrente Nominal: 10 A, Freqüência Nominal: 50/60 HZ, Funcionamento: Termomagnético , Padrão: Din , Tensão Nominal: 415",265,Unidade,"48,0000",Homologado,,,
104,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Referência: Siemens , Aplicação: Sistema De Ar Condicionado , Número De Fases: Trifásico , Curva De Disparo: C , Corrente Nominal: 20 A, Funcionamento: Termomagnético , Padrão: Din",275,Unidade,"47,9000",Homologado,,,
105,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Referência: Siemens , Aplicação: Sistema De Ar Condicionado , Número De Fases: Trifásico , Curva De Disparo: C , Corrente Nominal: 25 A, Funcionamento: Termomagnético , Padrão: Din",260,Unidade,"40,4700",Homologado,,,
106,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Modelo: Caixa Moldada X160 3p3d , Número Pólos: 3 , Tensão Máxima Operação: 220/440 V, Capacidade Interrupção Simétrica: 18 KA, Referência 1: Hda032l (Eletromar Hager) , Número De Fases: Trifásico , Corrente Nominal: 32 A, Freqüência Nominal: 50/60 HZ, Funcionamento: Termomagnético",206,Unidade,"45,0000",Cancelado no julgamento,,,
107,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Número De Fases: Trifásico , Corrente Nominal: 30 A, Funcionamento: Termomagnético , Tensão Nominal: 220",185,Unidade,"34,8900",Homologado,,,
108,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Referência: Fwf 3040l (Eletromar) , Capacidade Interrupção Simétrica: 65 KA, Característica: Caixa Moldada , Número De Fases: Trifásico , Corrente Nominal: 40 A, Funcionamento: Termomagnético",95,Unidade,"352,4400",Homologado,,,
109,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Acionamento: Alavanca , Modelo: Caixa Moldada , Número Pólos: 3 , Tensão Máxima Operação: 500 VCA, Corrente Nominal: 50 A, Freqüência Nominal: 50/60 HZ, Funcionamento: Termomagnético , Operação: Manual",85,Unidade,"159,0000",Homologado,,,
110,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Capacidade Interrupção Simétrica: 5 Ka/220 VCA, Número De Fases: Trifásico , Corrente Nominal: 60 A, Funcionamento: Termomagnético , Tensão Nominal: 220",70,Unidade,"28,9500",Cancelado no julgamento,,,
111,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Referência: Fwf 3080l (Eletromar) , Capacidade Interrupção Simétrica: 65 KA, Característica: Caixa Moldada , Número De Fases: Trifásico , Corrente Nominal: 80 A, Funcionamento: Termomagnético",65,Unidade,"189,5000",Cancelado no julgamento,,,
112,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Modelo: Caixa Moldada , Número Pólos: 3 , Tensão Máxima Operação: 380 VCA, Capacidade Interrupção Simétrica: 5/220 KA/VCA, Corrente Nominal: 25 A, Freqüência Nominal: 60 HZ, Funcionamento: Termomagnético , Normas Técnicas: Nbr 60.898",95,Unidade,"346,2600",Homologado,,,
113,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Acionamento: Alavanca , Modelo: Caixa Moldada , Número Pólos: 3 , Aplicação: Para Barramento Tipo Din , Número De Fases: Trifásico , Corrente Nominal: 32 A, Funcionamento: Termomagnético , Operação: Manual , Tensão Nominal: 127/220",77,Unidade,"45,0000",Cancelado no julgamento,,,
115,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Tripolar , Curva De Disparo: C , Corrente Nominal: 100 A, Funcionamento: Termomagnético , Padrão: Din",95,Unidade,"146,9200",Homologado,,,
119,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 4 A, Funcionamento: Termomagnético , Padrão: Din",16,Unidade,"47,5000",Homologado,,,
120,-,Disjuntor Baixa Tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Tripolar , Curva De Disparo: C , Corrente Nominal: 40 A, Funcionamento: Termomagnético , Padrão: Din",71,Unidade,"50,0000",Homologado,,,
121,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Tripolar , Curva De Disparo: C , Corrente Nominal: 50 A, Funcionamento: Termomagnético , Padrão: Din",71,Unidade,"65,0600",Homologado,,,
122,-,Disjuntor Baixa Tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 6 A, Funcionamento: Termomagnético , Padrão: Din",5,Unidade,"19,0100",Cancelado no julgamento,,,
123,-,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Tripolar , Curva De Disparo: C , Corrente Nominal: 63 A, Funcionamento: Termomagnético , Padrão: Din",25,Unidade,"91,6500",Homologado,,,
124,-,Disjuntor-motor,"Disjuntor-Motor Faixa De Ajuste De Corrente: 10 A 16 A, Disparador: Térmico",37,Unidade,"158,5800",Homologado,,,
125,-,Disjuntor-motor,"Disjuntor-Motor Faixa De Ajuste De Corrente: 20 A 25 A, Disparador: Térmico",36,Unidade,"334,9900",Homologado,,,
126,-,Disjuntor-motor,"Disjuntor-Motor Faixa De Ajuste De Corrente: 30 A 40 A, Disparador: Térmico",20,Unidade,"259,4000",Cancelado no julgamento,,,
127,-,Disjuntor-motor,"Disjuntor-Motor Número Pólos: 3 , Tensão Trabalho: 690 V, Categoria: Ac-3 , Linha: Gv2me32 (Schneider) , Faixa De Ajuste De Corrente: 24 - 32 A, Disparador: Termomagnético , Corrente De Disparo: 416 A, Corrente Nominal: (Lth) 32 A, Tipo Fixação: Por Parafusos , Frequência Nominal: 50/60 HZ, Vida Mecânica: 100.000 De Manobras",10,Unidade,"184,4500",Homologado,,,
128,-,Disjuntor-motor,"Disjuntor-Motor Faixa De Ajuste De Corrente: 37 A 50 A, Disparador: Térmico",25,Unidade,"1.399,9900",Homologado,,,
131,-,Eletroduto,"Material: Polietileno Alta Densidade, Aplicação: Cabo Subterrâneo, Referência Fabricante: Kanaflex, Cor: Preta, Tipo: Corrugado, Características Adicionais: Flexível ,Impermeavel E Esforço Com Compressão Dia, Diâmetro Nominal: 1 1/2 POL, Acessórios: Guia,",280,Metro,"5,3800",Homologado,,,
132,-,Eletroduto,"Material: Polietileno Alta Densidade, Aplicação: Cabo Subterrâneo, Referência Fabricante: Kanaflex, Cor: Preta, Tipo: Corrugado, Características Adicionais: Flexível ,Impermeavel E Esforço Com Compressão Dia, Diâmetro Nominal: 2 POL, Acessórios: Guia,",202,Metro,"5,4000",Cancelado no julgamento,,,
133,-,Eletroduto,"Eletroduto Material: Polietileno Alta Densidade , Aplicação: Cabo Subterrâneo , Cor: Preta , Tipo: Corrugado , Características Adicionais: Flexível ,Impermeavel E Esforço Com Compressão Dia , Normas Técnicas: Nbr15715 , Diâmetro Nominal: 1 POL, Acessórios: Guia",120,Metro,"14,6700",Cancelado no julgamento,,,
138,-,Eletroduto,"Revestimento: Pvc, Material: Aço Galvanizado, Cor: Preta, Tipo: Flexível, Diâmetro Nominal: 2 POL,",60,Metro,"77,0000",Homologado,,,
141,-,Eletroduto,"Eletroduto Material: Metálico , Tipo: Flexível Sealtube , Diâmetro Nominal: 4 PO",1,Metro,"0,0001",Cancelado no julgamento,,,
144,-,Fita isolante elétrica,"Fita Isolante Elétrica Material Básico: Borracha Etileno-Propileno (Epr) Autofusão , Resistência À Tensão: Até 69.000 V, Largura Nominal: 19 MM, Cor: Preta , Comprimento Nominal: 20",248,Unidade,"8,8800",Cancelado no julgamento,,,
150,-,Fita isolante elétrica,"Fita Isolante Elétrica Material Básico: Pvc Auto-Extinguível , Resistência À Tensão: Até 750 V, Largura Nominal: 19 MM, Espessura Nominal: 0,19 MM, Cor: Preta , Comprimento Nominal: 20 M, Classe Temperatura: 105 °",700,Unidade,"28,9200",Homologado,,,
151,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Caixa 4 X 2 Pol , Corrente Nominal: 10 A, Tipo: Bipolar  Simples , Características Adicionais: Conjugado Com Placa 4"" X 2"" , Quantidade Seções: 1 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Horizontal , Posição Relativa: Embutir , Formato: Retangular",500,Unidade,"13,8400",Homologado,,,
