Item,Grupo,Empresa,Melhor Lance,Valor Negociado,Quantidade Homologada,CNPJ
16,-,S.A. DE JESUS COMERCIO DE MATERIAIS DE CONSTRUCAO,"10,1900",,1123,21.896.826/0001-50
44,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"98,0000",,49,36.330.093/0001-60
45,-,MAPE COMERCIALIZACAO E REPRESENTACAO LTDA,"120,0000",,46,05.379.350/0001-24
46,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"70,5600",,16,36.330.093/0001-60
47,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"142,1000",,31,36.330.093/0001-60
50,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"431,2000","431,0000",18,36.330.093/0001-60
52,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"333,2000",,16,36.330.093/0001-60
54,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"139,1600",,20,36.330.093/0001-60
55,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","62,6000",19,36.330.093/0001-60
56,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"127,4000",,20,36.330.093/0001-60
71,-,AUGE LUZ MATERIAIS ELETRICOS LTDA,"18,5000",,77,42.698.864/0001-79
102,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,235,37.227.550/0001-58
103,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,265,37.227.550/0001-58
104,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,275,37.227.550/0001-58
105,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,260,37.227.550/0001-58
107,-,MINAS BRAZIL DISTRIBUIDORA EIRELI,"31,5200",,185,51.048.656/0001-15
108,-,DELVALLE MATERIAIS ELETRICOS LTDA,"158,3300",,95,37.227.550/0001-58
109,-,DELVALLE MATERIAIS ELETRICOS LTDA,"158,3300",,85,37.227.550/0001-58
112,-,DELVALLE MATERIAIS ELETRICOS LTDA,"158,3300",,95,37.227.550/0001-58
115,-,DELVALLE MATERIAIS ELETRICOS LTDA,"75,8500",,95,37.227.550/0001-58
119,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","47,5000",16,36.330.093/0001-60
120,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,71,37.227.550/0001-58
121,-,DELVALLE MATERIAIS ELETRICOS LTDA,"26,5800",,71,37.227.550/0001-58
123,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"34,6920","34,6900",25,36.330.093/0001-60
124,-,DELVALLE MATERIAIS ELETRICOS LTDA,"112,8300",,37,37.227.550/0001-58
125,-,DELVALLE MATERIAIS ELETRICOS LTDA,"112,8300",,36,37.227.550/0001-58
127,-,DELVALLE MATERIAIS ELETRICOS LTDA,"112,8300",,10,37.227.550/0001-58
128,-,DELVALLE MATERIAIS ELETRICOS LTDA,"323,1200",,25,37.227.550/0001-58
131,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","5,3800",280,36.330.093/0001-60
138,-,DELVALLE MATERIAIS ELETRICOS LTDA,"69,8300",,60,37.227.550/0001-58
150,-,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"4,9000",,700,20.784.313/0001-95
151,-,DELVALLE MATERIAIS ELETRICOS LTDA,"3,3200",,500,37.227.550/0001-58
152,-,DELVALLE MATERIAIS ELETRICOS LTDA,"5,1800",,465,37.227.550/0001-58
153,-,DELVALLE MATERIAIS ELETRICOS LTDA,"4,3700",,425,37.227.550/0001-58
154,-,DELVALLE MATERIAIS ELETRICOS LTDA,"6,2300",,402,37.227.550/0001-58
