amparo_legal,categoria,codigo_modalidade,codigo_tipo,contratante,data_assinatura,data_proposta_comercial,data_publicacao,fornecedor,id,informacao_complementar,justificativa_inativo,licitacao_numero,links,modalidade,num_parcelas,numero,objeto,processo,prorrogavel,receita_despesa,sistema_origem_licitacao,situacao,subcategoria,subtipo,tipo,unidade_compra,unidades_requisitantes,valor_acumulado,valor_global,valor_inicial,valor_parcela,vigencia_fim,vigencia_inicio
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120003', 'nome': 'SEXTO COMANDO AEREO REGIONAL', 'nome_resumido': 'VI COMAR', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2014-12-02,,2014-12-08,"{'cnpj_cpf_idgener': '03.470.083/0001-70', 'nome': 'SEMPRE ALERTA AGENCIAMENTO DE MAO-DE-OBRA E SERVICOS GERAIS LTDA', 'tipo': 'JURIDICA'}",8854,,,00067/2014,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/8854/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/8854/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/8854/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/8854/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/8854/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/8854/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/8854/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/8854/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/8854/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/8854/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/8854/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/8854/terceirizados'}",Pregão,1,00021/2014,"CONTRATAÇÃO DE EMPRESA PRESTADORA DE SERVIÇOS TÉCNICOS OPERACIONAIS DE ALIMENTAÇÃO, ENVOLVENDO O PROCESSO COMPLETO DESDE O ATENDIMENTO INDIVIDUALIZADO DO PACIENTE, ATÉ O PORCIONAMENTO E DISTRIBUIÇÃO DE SUA REFEIÇÃO, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.",67440.003349/2014-07,,Despesa,,Ativo,,,Contrato,120003,,"234.795,24","161.043,54","234.795,24","0,00",2020-12-09,2014-12-08
,Serviços,07,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120003', 'nome': 'SEXTO COMANDO AEREO REGIONAL', 'nome_resumido': 'VI COMAR', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2015-09-01,,2015-11-27,"{'cnpj_cpf_idgener': '08.546.929/0001-22', 'nome': 'CARESTREAM DO BRASIL COMERCIO E SERVICOS DE PRODUTOS MEDICOS LTDA', 'tipo': 'JURIDICA'}",9029,,,00037/2014,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/9029/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/9029/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/9029/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/9029/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/9029/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/9029/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/9029/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/9029/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/9029/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/9029/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/9029/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/9029/terceirizados'}",Inexigibilidade,1,00010/2015,"PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO CORRETIVA,COM REPOSIÇÃO DE PEÇAS CORRETIVAS.",67280.010182/2014-11,,Despesa,,Ativo,,,Contrato,120003,,"0,00","34.200,00","34.200,00","0,00",2020-11-30,2015-12-01
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-02-11,,2016-02-17,"{'cnpj_cpf_idgener': '05.926.726/0001-73', 'nome': 'MODULO CONSULTORIA E GERENCIA PREDIAL LTDA', 'tipo': 'JURIDICA'}",11423,,,00036/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/11423/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/11423/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/11423/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/11423/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/11423/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/11423/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/11423/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/11423/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/11423/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/11423/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/11423/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/11423/terceirizados'}",Pregão,1,00004/2016,"MANUTENÇÃO PREVENTIVA E CORRETIVA E ELECADOR, COM FORNECIMENTO DE PEÇAS ORIGINAIS A  'FIM DE ATENDER AO CENTRO E CONTROLE INTEGRADO '(COI), COM AS SEGUINTES CARACTERISICAS: MARCA''ATLAS, ELEVADOR:29977-BR, CAPACIDADE; 700 KG ''(10 PASSAGEIROS), E Nº DE PARADAS 05.",67612.022720/2015-93,,Despesa,,Ativo,,,Contrato,120008,,"5.538,00","6.286,69","5.538,00","0,00",2021-02-15,2016-02-15
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-04-26,,2016-06-17,"{'cnpj_cpf_idgener': '71.208.516/0001-74', 'nome': 'ALGAR TELECOM S/A', 'tipo': 'JURIDICA'}",11451,,,00027/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/11451/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/11451/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/11451/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/11451/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/11451/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/11451/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/11451/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/11451/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/11451/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/11451/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/11451/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/11451/terceirizados'}",Pregão,1,00011/2016,"PRESTAÇÃO DE SERVIÇO TELEFÔNICO FIXO COMUTADO (STFC) PARA CHAMADAS DO TIPO LOCAL, PARA OS DESTACAMENTOS SUBORDINADOS AO CINDACTA I, LOCALIZADOS NAS REGIÕES SUDESTE E CENTRO-OESTE DO BRASIL, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.",67612.019088/2015-09,,Despesa,,Ativo,,,Contrato,120008,,"335.847,76","51.611,39","51.611,39","51.611,39",2022-06-17,2016-06-17
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-04-26,,2016-09-15,"{'cnpj_cpf_idgener': '76.535.764/0001-43', 'nome': 'OI S.A. - EM RECUPERACAO JUDICIAL', 'tipo': 'JURIDICA'}",11453,,,00027/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/11453/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/11453/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/11453/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/11453/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/11453/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/11453/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/11453/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/11453/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/11453/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/11453/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/11453/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/11453/terceirizados'}",Pregão,1,00012/2016,"SERVIÇO TELEFÔNICO FIXO DE LONGA DISTÂNCIA NACIONAL (LDN), INCLUINDO AS LIGAÇÕES FIXO-FIXO E FIXO-MÓVEL, PARA AS ORGANIZAÇÕES SEDIADAS NO MATO GROSSO, LISTADAS NO ITEM 4.3.1 DO TERMO DE REFERÊNCIA.",67612.019088/2015-09,,Despesa,,Ativo,,,Contrato,120008,,"25.510,51","5.303,70","4.967,70","0,00",2021-09-15,2016-09-15
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-06-20,,2016-06-21,"{'cnpj_cpf_idgener': '06.929.064/0001-58', 'nome': 'JCA LAVANDERIAS LTDA', 'tipo': 'JURIDICA'}",15932,,,00062/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/15932/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/15932/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/15932/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/15932/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/15932/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/15932/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/15932/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/15932/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/15932/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/15932/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/15932/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/15932/terceirizados'}",Pregão,1,00016/2016,"SERVIÇO DE LAVANDERIA COM VISTAS À SUPRIR AS NECESSIDADES DO VI COMAR E DAS UNIDADES APOIADAS, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.",67280.009547/2015-37,,Despesa,,Ativo,,,Contrato,120003,,"643.932,40","128.786,50","128.786,50","0,00",2021-06-21,2016-06-21
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-09-01,,2016-09-20,"{'cnpj_cpf_idgener': '06.929.064/0001-58', 'nome': 'JCA LAVANDERIAS LTDA', 'tipo': 'JURIDICA'}",15935,,,00062/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/15935/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/15935/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/15935/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/15935/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/15935/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/15935/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/15935/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/15935/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/15935/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/15935/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/15935/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/15935/terceirizados'}",Pregão,1,00015/2016,"SERVIÇO DE LAVANDERIA COM VISTAS À SUPRIR AS NECESSIDADES DO VI COMAR E DAS UNIDADES APOIADAS, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.",67280.009547/2015-37,,Despesa,,Ativo,,,Contrato,120003,,"216.770,00","43.354,00","43.354,00","0,00",2021-09-01,2016-09-01
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-09-01,,2016-09-21,"{'cnpj_cpf_idgener': '06.929.064/0001-58', 'nome': 'JCA LAVANDERIAS LTDA', 'tipo': 'JURIDICA'}",15937,,,00062/2015,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/15937/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/15937/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/15937/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/15937/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/15937/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/15937/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/15937/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/15937/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/15937/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/15937/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/15937/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/15937/terceirizados'}",Pregão,1,00025/2016,"SERVIÇO DE LAVANDERIA COM VISTAS À SUPRIR AS NECESSIDADES DO VI COMAR E DAS UNIDADES APOIADAS, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.",67280.009547/2015-37,,Despesa,,Ativo,,,Contrato,120003,,"768.310,00","153.662,00","153.662,00","0,00",2021-09-01,2016-09-01
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2016-08-31,,2016-09-05,"{'cnpj_cpf_idgener': '03.496.338/0001-74', 'nome': 'REALMAK SERVICOS E COMERCIO LTDA', 'tipo': 'JURIDICA'}",16141,,,00054/2016,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/16141/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/16141/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/16141/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/16141/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/16141/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/16141/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/16141/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/16141/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/16141/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/16141/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/16141/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/16141/terceirizados'}",Pregão,1,00027/2016,"SERVIÇOS MANUTENÇÃO PREVENTIVA E CORRETIVA, POR UM PERÍODO DE DOZE MESES, COM ASSISTÊNCIA TÉCNICA E REPOSIÇÃO DE TODAS E QUAISQUER PEÇAS E/OU MATERIAIS DE CONSUMO, NO SISTEMA DE CLIMATIZAÇÃO DO DTCEA-YS, EACEA-RP E EACEA-RCL.",67612.023846/2015-85,,Despesa,,Ativo,,,Contrato,120625,,"1.464.975,88","289.837,94","295.100,00","0,00",2021-09-05,2016-09-05
,Serviços,05,50,"{'orgao': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52111', 'nome': 'COMANDO DA AERONAUTICA', 'unidade_gestora_origem': {'codigo': '120625', 'nome': 'GRUPAMENTO DE APOIO DO DISTRITO FED', 'nome_resumido': 'GAP DF', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2017-06-30,,2017-07-03,"{'cnpj_cpf_idgener': '40.432.544/0001-47', 'nome': 'CLARO S.A.', 'tipo': 'JURIDICA'}",16407,,,00074/2016,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/16407/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/16407/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/16407/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/16407/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/16407/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/16407/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/16407/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/16407/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/16407/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/16407/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/16407/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/16407/terceirizados'}",Pregão,12,00018/2017,"CONTRATAÇÃO DE SOLUÇÃO DE CONECTIVIDADE SEM FIO, NA MODALIDADE SMP, PARA COMUNICAÇÃO DE VOZ E DADOS E SOLUÇÃO DE ACESSO À INTERNET ATRAVÉS DA REDE CELULAR, COM AS CARACTERÍSTICAS DE SERVIÇO PÓS-PAGOS, VIA REDE MÓVEL, COM TECNOLOGIA DIGITAL E FACILIDADES DE ROAMING NACIONALE INTERNACIONAL, EM ATENDIMENTO ÀS NECESSIDADES DO CINDACTA I E RESPECTIVOS DESTACAMENTOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA.",67612.007899/2016-30,,Despesa,,Ativo,,,Contrato,120625,,"194.689,44","64.896,48","64.917,56","5.408,04",2023-06-30,2017-06-30
