Número do instrumento,Objeto,OM,Tipo,Portaria,Gestor,Fiscal,Vig. Início,Vig. Fim,Valor Formatado,Natureza Continuada
01532/2017,Fornecimento de Energia,Com7ºDN,Contrato,TEste,Teste,Teste,19/02/2019,18/02/2024,87000/17-1532/00,Sim
00001/2023,Resíduos Sólidos,Com7ºDN,Contrato,x,x,x,08/02/2023,08/02/2024,87000/23-001/00,Não
01531/2017,Fornecimento de Energia,Com7ºDN,Contrato,,,,19/02/2019,18/02/2024,87000/17-1531/00,Sim
00100/2023,Embarcações,Com7ºDN,Contrato,,,,24/11/2023,24/02/2024,87000/23-100/00,Não
00105/2023,Embarcações ,Com7ºDN,Contrato,,,,24/11/2023,24/02/2024,87000/23-105/00,Não
00005/2021,Central Telefônica,Com7ºDN,Contrato,,,,04/03/2021,03/03/2024,87000/21-005/00,Sim
00102/2023,Embarcações ,Com7ºDN,Contrato,,,,14/12/2023,14/03/2024,87000/23-102/00,Não
00106/2023,Embarcações ,Com7ºDN,Contrato,,,,18/12/2023,18/03/2024,87000/23-106/00,Não
00039/2023,Dedetização,Com7ºDN,Ata,,,,27/04/2023,29/03/2024,87000/23-039/00,Não
00008/2022,Manutenção de Cozinha,Com7ºDN,Contrato,,,,31/03/2022,30/03/2024,87000/22-008/00,Sim
00038/2023,Desentupidora,Com7ºDN,Ata,,,,27/04/2023,29/03/2024,87000/23-038/00,Não
00044/2020,Passagens,Com7ºDN,Contrato,,,,09/04/2020,08/04/2024,87000/20-044/00,Sim
00046/2023,Material de Expediente,Com7ºDN,Ata,,,,16/06/2023,11/04/2024,87000/23-046/00,Não
00009/2022,Serviço de Jardinagem,Com7ºDN,Contrato,,,,25/04/2022,24/04/2024,87000/22-009/00,Sim
00062/2021,Passagens,Com7ºDN,Contrato,,,,07/05/2021,06/05/2024,87000/21-062/00,Sim
00043/2023,Material de Expediente ,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-043/00,Não
00044/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-044/00,Não
00045/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-045/00,Não
00035/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-035/00,Não
00041/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-041/00,Não
00040/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-040/00,Não
00031/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-031/00,Não
00034/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-034/00,Não
00036/2023,Material de Expediente,Com7ºDN,Ata,,,,16/05/2023,16/05/2024,87000/23-036/00,Não
00032/2023,Material de Expediente,Com7ºDN,Ata,,,,16/05/2023,16/05/2024,87000/23-032/00,Não
00042/2023,Material de Expediente,Com7ºDN,Ata,,,,15/05/2023,15/05/2024,87000/23-042/00,Não
00033/2019,Leiloeiro Oficial,Com7ºDN,Contrato,,,,27/05/2019,25/05/2024,87000/19-033/00,Sim
00048/2023,Peças de Elevadores,Com7ºDN,Ata,,,,26/05/2023,26/05/2024,87000/23-048/00,Não
00037/2023,Material de Expediente,Com7ºDN,Ata,,,,12/06/2023,12/06/2024,87000/23-037/00,Não
00063/2023,Laticínios,Com7ºDN,Ata,,,,14/07/2023,22/06/2024,87000/23-063/00,Não
00061/2023,Laticínios,Com7ºDN,Ata,,,,11/07/2023,22/06/2024,87000/23-061/00,Não
00064/2023,Laticínios ,Com7ºDN,Ata,,,,10/07/2023,22/06/2024,87000/23-064/00,Não
00062/2023,Laticínios,Com7ºDN,Ata,,,,04/07/2023,22/06/2024,87000/23-062/00,Não
00070/2023,Hortifrutigranjeiros,Com7ºDN,Ata,,,,08/08/2023,11/07/2024,87000/23-070/00,Não
